Phylum,Class,Order,Family,Genus,Species,OTU,DGN16SuooMAaA_1_112,DGN16SuooMAaA_1_113,DGN16SuooMAaA_1_115,DGN16SuooMAaA_1_116,DGN16SuooMAaA_2_113,DGN16SuooMAaA_2_115,DGN16SuooMAaA_2_116,DGN16SuooMAaA_3_115,DGN16SuooMAaA_3_120,DGN16SuooMAaA_4_112,DGN16SuooMAaA_4_115,DGN16SuooMAaA_5_116,DGN16SuooMAaA_7_113,DGN16SuooMAaA_7_115,DGN16SuooMAaA_8_115,DGN16SuooMAaA_9_112,DGN16SuooMAaA_9_116,Rego006,Rego010,Rego015,Rego016,Rego019,Rego020,Rego023,Rego025,Rego030,Rego032,Rego035,Rego041,Rego042,Rego045,Rego046,Rego049,Rego054,Rego061,Rego063,Rego064,Rego069,Rego071,Rego083,WHYD20082037_A,WHYD20082062_A
Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_sp._canine_oral_taxon_423,OTU3836,0,0,0,0,17,8,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,8,0,0,0,0,0,0
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia_dentocariosa_ATCC_17931,OTU3702,22,17,5,9,2,12,37,20,6,2,3,2,1,32,0,20,101,1,9,5,7,5,2,12,15,3,9,3,0,2,19,14,49,4,5,2,1,2,2,8,34,29
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,unclassified_g__Actinomyces,OTU4215,1,0,0,3,8,7,4,0,9,0,2,11,1,2,15,0,5,3,0,0,5,5,1,1,0,0,1,2,5,1,2,0,0,11,3,5,3,3,19,0,5,5
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,unclassified_g__Rothia,OTU3454,3,2,2,73,12,1,7,4,0,9,1,2,4,1,1,7,0,3,4,35,9,4,8,8,15,51,2,26,20,42,3,9,100,3,4,35,8,40,2,20,32,5
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_massiliensis,OTU3359,37,0,1,5,2,13,34,3,11,2,0,7,6,8,1,1,1,0,4,2,2,16,3,2,1,0,0,5,0,7,14,0,7,0,20,0,0,0,3,4,3,3
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia_dentocariosa,OTU5657,2,6,1,1,2,1,3,0,0,0,0,0,0,2,3,0,1,1,5,7,2,3,4,5,11,0,3,6,0,2,4,4,117,1,5,2,2,0,0,19,15,12
Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Cryptobacterium,Cryptobacterium_curtum_DSM_15641,OTU3797,0,0,2,2,6,7,0,1,21,0,23,9,1,1,2,1,1,0,4,0,0,6,1,0,1,0,2,1,0,0,0,0,0,1,0,1,1,1,6,0,0,2
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Schaalia_odontolytica,OTU3384,79,37,21,2,62,13,93,31,28,13,14,37,114,10,1,66,9,14,16,59,53,63,12,20,11,27,6,23,22,89,118,35,11,75,35,107,36,12,96,90,20,45
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,unclassified_g__Actinomyces,OTU4150,2,0,0,1,1,1,5,0,1,0,0,1,0,0,2,3,0,0,1,1,4,0,3,0,1,1,2,5,0,0,1,2,9,2,1,0,0,0,0,0,1,0
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_sp._oral_taxon_448_str._F0400,OTU4156,218,0,1,5,5,2,185,0,4,0,0,0,2,0,0,0,0,0,1,1,0,1,1,23,3,0,0,7,0,0,5,0,8,0,15,0,2,0,4,0,10,12
Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,uncultured_bacterium_g__Atopobium,OTU3372,146,72,42,16,71,84,180,6,115,30,343,72,50,118,91,53,32,7,33,28,15,226,76,66,23,11,35,52,5,15,191,30,9,152,103,26,48,9,105,43,58,109
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,unclassified_g__Actinomyces,OTU4232,0,0,2,0,1,0,18,1,0,2,0,1,2,0,0,4,1,0,0,1,1,0,1,0,7,4,0,0,1,8,4,1,12,1,1,12,0,2,5,5,0,0
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia_mucilaginosa,OTU4164,291,120,253,1426,324,112,1885,800,43,302,243,91,158,31,127,284,635,116,152,619,509,247,82,131,867,1784,151,392,163,2463,535,140,1316,282,237,770,203,537,506,652,1225,294
Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,unclassified_g__Corynebacterium,OTU3876,0,0,1,3,5,10,0,0,1,1,1,11,1,0,1,0,0,4,3,4,0,2,0,7,3,6,0,4,16,12,0,0,0,4,0,10,4,1,1,3,3,0
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,unclassified_g__Rothia,OTU5647,0,1,1,2,4,0,2,9,0,2,2,0,2,0,0,1,3,0,1,2,5,0,0,0,6,25,0,0,6,30,0,1,0,0,0,9,5,6,3,2,1,0
Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_pseudocatenulatum_DSM_20438__JCM_1200__LMG_10505,OTU3022,10,2,0,2,2,1,21,19,0,0,6,6,0,1,0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_oris,OTU3731,812,41,24,26,75,46,904,71,42,18,37,76,7,79,112,363,83,2,10,34,112,71,93,36,38,29,42,72,8,45,52,57,506,109,51,29,9,13,22,40,65,46
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,F0332,uncultured_bacterium_g__F0332,OTU3542,23,0,13,6,18,57,11,0,3,12,5,2,6,0,5,0,17,1,12,1,6,7,2,43,1,0,14,1,3,0,3,2,2,11,41,2,6,0,8,10,12,16
Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia_wiggsiae,OTU3437,38,0,5,1,4,2,15,0,21,0,44,0,2,0,8,0,0,1,41,0,0,0,19,8,9,0,6,10,2,1,74,1,2,35,22,1,6,0,4,8,13,34
Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_durum,OTU3358,76,4,40,21,221,105,192,19,358,15,23,41,3,45,0,82,84,23,15,77,33,23,0,30,63,15,43,68,4,17,27,5,14,63,57,12,10,15,19,30,33,53
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia_mucilaginosa,OTU3518,3,7,18,1,8,1,30,11,1,0,3,1,1,3,3,5,2,0,3,7,0,4,6,4,24,51,2,3,1,2,17,0,19,6,3,73,4,0,7,0,28,7
Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,unclassified_g__Corynebacterium,OTU5788,0,0,25,46,123,217,0,1,74,16,24,588,8,14,24,26,16,17,33,41,7,128,27,68,44,97,19,38,67,79,22,2,0,95,82,199,34,77,141,35,210,61
Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,uncultured_bacterium_g__Propionibacterium,OTU3063,0,0,0,0,6,0,0,1,0,4,5,0,1,0,0,0,7,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,6,4
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,unclassified_f__Actinomycetaceae,unclassified_f__Actinomycetaceae,OTU4250,2,1,1,4,0,0,83,41,0,2,22,0,1,0,0,0,100,0,1,0,66,1,0,0,0,0,1,11,0,0,2,0,2,0,7,1,0,0,0,3,14,20
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,unclassified_g__Actinomyces,OTU306,36,2,6,4,12,2,12,2,26,10,3,2,7,14,0,56,3,2,4,9,6,19,4,5,56,7,12,7,10,3,77,8,8,34,14,5,10,3,19,6,6,16
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,F0332,unclassified_g__F0332,OTU4179,0,1,2,4,1,11,0,11,1,3,10,18,3,0,0,0,13,3,0,0,8,41,1,10,5,3,0,3,3,1,0,1,0,6,0,2,1,16,7,9,6,4
Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Pseudopropionibacterium,uncultured_bacterium_g__Pseudopropionibacterium,OTU5639,3,0,0,2,0,1,1,13,1,1,1,0,0,0,0,0,15,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_graevenitzii,OTU300,39,20,2,0,16,0,39,8,0,5,18,5,11,0,0,0,0,2,0,8,0,52,0,34,1,1,0,9,13,41,56,5,5,14,0,15,28,1,11,4,5,5
Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_sp._oral_taxon_414,OTU4304,17,0,0,3,7,9,19,0,5,0,1,4,4,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Pseudopropionibacterium,uncultured_bacterium_g__Pseudopropionibacterium,OTU536,9,0,0,15,2,1,0,0,0,3,23,9,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,1
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,unclassified_g__Rothia,OTU5801,32,22,0,0,5,2,54,0,0,1,3,0,1,1,1,12,2,0,3,2,0,3,1,2,9,1,3,4,0,2,16,0,64,2,3,2,2,0,3,3,35,20
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,unclassified_g__Rothia,OTU4184,4001,868,204,227,409,718,4323,2433,264,148,211,162,22,3060,248,1116,7895,191,506,684,1644,312,236,401,2344,303,798,403,1,697,1743,709,3382,309,801,234,202,121,70,1282,4385,5508
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp._oral_taxon_317_str._F0108,OTU3717,0,0,5,2,42,41,0,4,8,45,34,55,4,2,146,12,58,27,62,13,40,81,91,23,18,9,396,61,1,0,8,56,3,9,55,78,76,20,38,30,34,38
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3575,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,5,2,1,0,4,0,1,7,3,2,0,1,0,3,0,0,0,0,0,6,6,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_coprocola_DSM_17136,OTU6686,23,0,0,7,0,0,2,59,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_endodontalis,OTU2150,0,0,0,0,0,2,0,4,7,11,1,1,0,2,2,0,2,24,5,2,4,6,3,4,9,0,0,8,0,0,10,2,1,1,3,1,0,0,2,7,5,3
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,unclassified_g__Porphyromonas,OTU3748,1,0,0,71,0,0,0,0,0,1,1,7,0,0,1,12,0,0,8,0,41,0,4,0,0,2,0,111,0,0,2,0,0,0,0,0,0,79,1,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3373,0,61,5,0,4,0,3,0,0,10,4,5,43,0,2,1,6,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,5,0,0,0,3,0,0,0,2,1
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,uncultured_Prevotella_sp._g__Prevotella,OTU299,0,21,48,0,25,7,0,0,2,26,12,4,32,1,2,10,1,0,4,7,0,4,1,1,1,0,0,3,0,1,5,4,0,0,0,0,9,0,5,0,11,1
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_melaninogenica,OTU3771,616,4285,4921,40,1893,1285,75,127,2824,4325,1773,1125,3674,1068,619,3834,494,591,1640,943,735,2835,162,553,750,514,577,1276,858,2556,2447,320,720,2239,261,733,1983,327,1409,629,2185,1174
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp._oral_clone_DA058,OTU2139,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,1,0,0,0,13,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0
Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_sputigena,OTU3061,108,342,63,299,157,139,521,337,52,61,224,97,19,172,9,97,410,155,92,254,320,256,348,69,17,250,295,114,165,44,308,185,174,238,100,85,314,103,138,91,142,236
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_oris,OTU3769,56,219,111,132,188,594,30,21,1361,225,282,522,113,371,585,113,373,19,30,2,3,10,36,31,34,0,23,13,7,1,32,8,20,15,24,7,3,14,19,39,408,397
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp._oral_clone_DO014,OTU3799,0,22,37,0,84,6,0,0,0,0,0,0,57,0,0,0,0,0,0,2,0,7,0,73,0,0,0,4,2,0,48,0,5,92,0,2,20,0,0,0,10,15
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU558,6,39,36,3,27,9,17,2,24,26,10,35,56,7,49,21,5,5,20,11,11,8,10,26,7,7,17,28,6,14,11,5,42,22,21,12,39,10,11,11,55,30
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp._oral_clone_DA058,OTU3706,0,3,0,0,0,8,0,0,0,35,0,0,0,10,0,1,1,66,0,0,1,21,0,22,56,0,8,0,2,0,22,0,0,0,10,0,0,0,0,92,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unclassified_g__Bacteroides,OTU3807,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,1,2,0,0,8,1,1,0,6,0,4,0,0,0,10,1,0,0,13,0,0,1,0,2,5,27
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU521,9,64,17,1,73,23,14,1,58,13,74,69,59,6,2,6,0,1,46,2,1,20,1,174,1,0,25,18,1,0,88,2,11,95,12,7,37,5,26,2,39,6
Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,norank_f__Muribaculaceae,uncultured_bacterium_g__norank_f__Muribaculaceae,OTU6491,13,1,0,6,0,0,0,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_plebeius,OTU5961,2,0,0,3,1,0,5,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,uncultured_Bacteroidetes_bacterium_g__Alloprevotella,OTU4199,1,7,769,18,0,1,0,0,615,300,1,42,48,0,23,0,125,90,241,52,68,63,14,110,7,164,150,69,24,197,68,527,62,124,6,26,121,165,66,71,0,0
Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_haemolytica,OTU4204,0,0,26,0,0,0,0,22,19,0,12,0,26,0,0,0,0,0,0,0,22,31,0,27,50,0,10,0,0,0,0,0,0,55,68,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,unclassified_f__Prevotellaceae,unclassified_f__Prevotellaceae,OTU2271,0,5,0,0,0,2,0,0,0,9,0,0,0,1,0,1,0,3,0,0,0,6,0,13,4,0,0,0,2,0,30,0,0,0,1,0,0,0,0,7,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU2806,7,0,1,2,6,12,4,0,15,0,102,5,3,7,22,2,7,1,59,1,2,30,15,5,0,0,8,1,0,0,6,1,0,1,20,1,0,2,21,2,4,1
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3879,13,416,26,0,57,63,99,1,1,23,5,9,103,1,2,71,3,0,1,1,0,1,0,21,2,0,4,2,0,0,14,0,5,3,1,1,5,0,3,3,37,11
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,uncultured_Bacteroidetes_bacterium_g__Alloprevotella,OTU3887,74,524,73,11,82,12,39,47,75,228,65,101,283,58,70,93,107,3,4,4,3,9,0,11,0,4,21,9,10,5,12,16,14,16,0,3,7,4,5,5,18,44
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3567,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,41,0,0,0,2,0,0,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_marshii,OTU3827,0,8,0,7,8,21,2,4,0,3,44,15,15,30,0,3,1,3,3,2,1,14,19,3,11,1,7,3,0,0,30,3,2,0,56,6,0,0,0,7,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3749,0,0,0,26,11,8,9,2,23,9,15,95,9,9,15,7,17,8,11,11,6,86,35,1,2,1,4,12,0,1,2,10,0,14,9,10,14,11,22,11,8,10
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU4969,92,11,0,19,1,0,33,4214,1,0,18,0,5,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,uncultured_Prevotella_sp._g__Prevotella,OTU5672,46,17,6,0,14,21,19,0,10,2,8,23,25,0,21,1,1,0,16,0,0,1,5,31,0,0,8,6,0,0,43,0,20,14,20,2,18,0,11,3,5,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_oulorum,OTU3727,944,90,48,56,154,381,177,21,479,54,180,148,75,86,293,28,35,30,120,38,35,135,230,115,53,5,151,83,8,7,185,30,152,150,320,70,28,21,89,72,92,129
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU5576,1,8,7,5,4,5,2,0,67,30,0,17,7,6,105,0,2,23,4,6,1,16,117,22,164,1,36,29,2,0,13,8,3,6,93,1,1,2,6,42,1,1
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU5570,2,9,1,2,2,22,3,3,9,32,3,11,0,8,13,5,5,23,10,9,7,15,6,50,4,2,6,12,0,1,22,7,6,1,7,8,11,1,4,13,41,17
Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis,OTU6685,19,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3732,1,56,51,0,44,26,1,0,15,30,18,32,56,2,10,42,4,6,23,3,1,14,2,11,8,3,1,16,14,7,31,6,23,35,3,8,17,4,13,2,30,5
Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,unclassified_g__Rikenellaceae_RC9_gut_group,OTU3779,0,0,6,0,0,42,0,3,0,11,0,0,0,24,33,3,12,47,0,6,17,52,25,7,87,0,16,8,0,0,0,1,0,8,15,6,0,0,0,30,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_melaninogenica,OTU5468,44,921,339,4,200,107,8,23,121,444,83,131,592,34,43,181,93,31,116,25,8,137,8,175,45,26,56,93,25,21,1184,11,153,323,11,24,291,23,71,46,199,90
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_shahii,OTU3751,2,32,31,87,35,34,4,17,143,35,48,11,51,11,77,6,65,27,117,42,15,74,57,17,12,5,45,49,0,8,43,44,1,3,14,31,46,14,13,19,6,8
Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_gingivalis,OTU3723,154,3,43,7,21,76,1021,5,9,15,1,46,11,6,7,11,128,1,1,3,0,0,1,2,0,0,0,1,0,3,1,1,2,0,0,1,2,3,3,1,3,9
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3423,0,7,5,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3422,0,7,21,0,5,0,0,0,7,2,0,2,9,0,0,2,0,0,0,1,0,0,0,1,0,2,1,3,0,1,1,3,2,4,0,0,2,0,1,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3421,0,31,0,0,1,1,0,0,0,242,0,0,0,14,0,3,1,90,0,0,2,33,0,40,47,0,7,0,10,3,83,0,0,0,10,0,0,0,0,85,0,0
Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella,uncultured_bacterium_g__Bergeyella,OTU5663,0,0,3,29,0,0,0,1,0,0,0,2,2,63,4,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,1,0,3,5
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_salivae,OTU3785,352,354,331,0,714,242,176,15,823,88,715,430,440,194,21,279,2,13,304,69,23,409,20,523,86,49,226,139,89,51,930,91,43,727,63,74,187,52,398,14,219,162
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_pleuritidis,OTU570,0,0,0,0,10,76,0,19,0,18,0,0,0,86,0,16,11,0,0,0,225,55,0,0,113,0,0,0,0,0,0,260,0,0,350,64,0,0,0,190,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_jejuni,OTU3775,876,668,661,1,502,55,618,115,23,93,39,339,2293,2,7,10,8,5,70,4,3,43,159,58,2,7,56,46,3,0,59,1,8,25,45,14,44,3,34,16,466,465
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3504,0,0,0,0,2,1,0,0,3,0,3,0,0,3,0,1,5,1,3,0,0,3,6,3,0,0,7,1,0,0,2,0,2,1,3,2,0,0,1,3,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU3729,4,1,1,0,4,7,2,0,20,0,94,9,0,5,7,0,4,0,48,1,5,17,5,2,3,0,0,0,0,0,6,0,0,1,26,0,2,0,11,5,6,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,uncultured_bacterium_g__Prevotella,OTU4860,0,9,3,10,24,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,unclassified_g__Alloprevotella,OTU3828,63,63,173,14,50,100,0,7,98,255,0,89,150,244,48,46,18,28,0,56,11,85,68,58,91,31,93,106,5,0,215,8,2,255,205,11,19,37,0,122,100,99
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU4971,12,9,0,18,1,1,8,79,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis,OTU5329,119,0,0,4,0,1,1,84,0,0,17,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,unclassified_g__Alloprevotella,OTU2404,0,4,8,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1,0,0,15,0,0,1,1,0,0,0,0,2,1,1,8,0,0,1,0,0,0,2,1
Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_plebeius,OTU5089,36,3,2,13,2,2,54,98,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU2742,2,8,8,0,17,3,0,0,0,2,0,1,9,0,0,1,0,0,1,1,0,1,0,19,0,0,1,0,0,0,11,0,1,16,1,2,8,0,4,0,4,0
Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,unclassified_g__Capnocytophaga,OTU3774,114,364,102,174,376,247,876,5,141,77,33,875,17,48,36,45,229,342,122,354,59,159,455,292,53,163,31,71,140,84,121,109,57,378,44,179,154,472,472,147,79,59
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp._oral_clone_DA058,OTU588,0,11,0,0,1,5,0,0,0,131,0,0,0,3,0,1,0,23,0,0,2,14,0,11,6,0,1,0,1,0,23,0,0,0,7,0,0,0,0,36,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified_g__Prevotella,OTU5552,3,38,39,0,13,12,6,0,17,40,40,27,9,10,1,13,7,1,33,9,6,42,4,48,33,1,7,50,0,0,76,3,20,100,23,28,18,5,27,11,27,7
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp._oral_clone_AH125,OTU3725,0,0,0,0,2,1,0,0,0,0,13,2,1,1,1,0,0,0,0,1,1,5,6,0,0,0,0,0,0,0,1,0,0,1,113,0,0,0,6,0,1,0
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,unclassified_g__Alloprevotella,OTU5472,0,0,0,0,0,4,0,2,0,2,0,0,0,19,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,6,1,0,0,0,4,0,0
